,Detection Date,Latitude,Longitude,Lab Status,Detection Num,labels,Detection Normal
0,2019-12-08,48.980994,-122.688503,Positive ID,737401.0,1,-0.5681164044954143
1,2019-10-30,48.971949,-122.70094099999999,Positive ID,737362.0,1,-0.6843417822863387
2,2020-01-15,48.9392,-122.6613,Unverified,737439.0,3,-0.45487116459656496
3,2019-09-19,49.149394,-123.94313400000001,Positive ID,737321.0,1,-0.806527435861413
4,2019-08-31,48.723779,-122.354431,Unverified,737302.0,3,-0.8631500558108377
5,2019-10-15,48.986176,-122.69745,Unverified,737347.0,3,-0.7290438506674635
6,2020-02-29,48.729596,-122.48003500000002,Negative ID,737484.0,0,-0.3207649594531907
7,2020-03-01,48.186023999999996,-122.34468000000001,Unverified,737485.0,3,-0.31778482156111576
8,2019-09-07,47.395721,-123.10518799999998,Negative ID,737309.0,0,-0.8422890905663128
9,2020-03-19,47.840041,-122.32356200000001,Negative ID,737503.0,0,-0.26414233950376603
10,2019-07-17,47.487496,-118.958142,Unverified,737257.0,3,-0.9972562609542119
11,2020-03-16,48.419995,-122.33213,Unverified,737500.0,3,-0.27308275317999103
12,2019-08-30,47.635058,-122.057332,Negative ID,737301.0,0,-0.8661301937029127
13,2020-03-20,48.93401,-122.48545,Unverified,737504.0,3,-0.26116220161169107
14,2020-03-23,48.74361,-122.43905,Negative ID,737507.0,0,-0.2522217879354661
15,2020-03-27,47.936452,-122.137477,Unverified,737511.0,3,-0.2403012363671662
16,2016-06-20,47.887101,-121.972109,Unverified,736135.0,3,-4.340970975862343
17,2019-08-02,46.815183000000005,-122.98770900000001,Unverified,737273.0,3,-0.9495740546810122
18,2020-03-31,46.609918,-120.563107,Negative ID,737515.0,0,-0.22838068479886625
19,2019-07-23,48.006763,-122.462053,Negative ID,737263.0,0,-0.979375433601762
20,2018-07-01,47.665711,-122.326871,Unverified,736876.0,3,-2.1326887978347804
21,2016-08-25,48.857859000000005,-121.844931,Unverified,736201.0,3,-4.144281874985394
22,2019-09-14,48.64683,-122.369771,Unverified,737316.0,3,-0.8214281253217879
23,2020-04-05,46.240111999999996,-122.915848,Unverified,737520.0,3,-0.21347999533849135
24,2020-04-06,47.526522,-122.324858,Unverified,737521.0,3,-0.21049985744641636
25,2020-04-06,47.526507,-122.324826,Unverified,737521.0,3,-0.21049985744641636
26,2020-03-24,48.077702,-123.17076100000001,Unverified,737508.0,3,-0.24924165004339113
